"ID","IntDate","H4","G3_EDU","H1","AGE","A1","B8_1","A7_1","A10","A13_1","A13_2","A13_3","C8_1","C8_2","C8_3","C8_4","C8_5","C8_6","W5"
"27900792","2022-05-26",0,"Non-University","Female",47,1,5,0,NA,NA,0,0,0,0,0,0,0,0,0
"27900809","2022-08-12",0,"Non-University","Female",80,2,7,0,2,NA,0,0,0,0,0,0,1,0,1
"27900815","2022-06-03",0,"University","Female",38,2,5,0,3,NA,0,0,0,0,0,0,0,0,0
"27900816","2022-06-07",0,"University","Female",36,2,10,0,1,NA,0,0,0,0,0,0,0,0,0
"27900823","2022-06-06",0,"University","Male",45,0,5,1,3,NA,0,0,0,0,0,0,0,1,0
"27900833","2022-06-24",0,"University","Male",32,1,5,0,2,NA,0,0,0,0,0,0,0,0,0
"27900838","2022-06-01",0,"Non-University","Male",25,3,6,1,3,NA,0,0,0,0,0,0,0,0,0
"27900839","2022-07-10",0,"Non-University","Male",21,1,7,0,2,NA,0,0,0,0,0,0,0,0,0
"27900841","2022-06-05",0,"Non-University","Female",78,2,6,1,2,NA,0,0,0,0,0,0,0,0,0
"27900845","2022-06-08",0,"Non-University","Female",59,1,3,0,3,NA,0,0,0,0,0,0,0,0,0
"27900865","2022-06-10",0,"Non-University","Male",72,3,3,1,3,NA,0,0,1,0,1,0,0,1,0
"27900867","2022-05-29",0,"Non-University","Male",52,1,5,1,2,NA,0,0,0,0,0,0,0,0,0
"27900868","2022-09-30",0,"University","Female",72,3,2,0,3,NA,0,0,1,1,1,0,1,1,0
"27900881","2022-08-12",0,"Non-University","Male",95,2,7,0,NA,NA,0,0,0,0,0,1,0,0,0
"27900882","2022-06-01",0,"University","Female",43,1,5,0,3,NA,0,0,1,0,0,1,1,0,1
"27900883","2022-06-02",0,"Non-University","Male",80,3,9,1,3,NA,0,0,0,0,0,0,0,0,0
"27900884","2022-05-26",1,"Non-University","Male",53,3,6,0,3,1,1,0,1,1,1,1,1,1,1
"27900885","2022-09-30",0,"University","Male",72,2,7,1,3,NA,0,0,1,0,0,0,1,1,0
"27900886","2022-06-07",0,"Non-University","Female",79,3,6,0,3,NA,0,0,0,1,NA,NA,NA,NA,0
"27900887","2022-05-29",1,"Non-University","Female",36,1,10,1,3,NA,0,0,1,1,1,1,1,1,0
"27900888","2022-08-01",0,"Non-University","Male",86,3,5,1,3,NA,0,0,0,0,0,0,0,0,0
"27900889","2022-08-12",0,"Non-University","Female",33,2,999,1,2,NA,0,0,0,0,0,0,0,1,0
"27900894","2022-05-28",0,"Non-University","Female",67,2,5,1,3,1,0,0,0,0,0,0,0,1,0
